Episode,Score,Avg100,Epsilon,Loss,Greedy_Eval
1,134,134.0,0.997,0,96
2,102,118.0,0.995,0.6011,97
3,108,114.67,0.993,0.1498,110
4,108,113.0,0.991,0.0955,105
5,110,112.4,0.988,0.0605,106
6,105,111.17,0.986,0.0492,100
7,110,111.0,0.984,0.0605,107
8,111,111.0,0.982,0.0399,107
9,110,110.89,0.979,0.0436,104
10,102,110.0,0.977,0.0308,100
11,105,109.55,0.975,0.0314,108
12,100,108.75,0.973,0.0299,110
13,97,107.85,0.971,0.026,106
14,104,107.57,0.969,0.0175,105
15,103,107.27,0.967,0.0242,105
16,109,107.38,0.964,0.0156,106
17,102,107.06,0.962,0.0149,106
18,98,106.56,0.96,0.0207,106
19,113,106.89,0.958,0.0117,108
20,103,106.7,0.956,0.0186,108
21,108,106.76,0.954,0.0101,108
22,89,105.95,0.952,0.0179,108
23,107,106.0,0.95,0.3402,108
24,105,105.96,0.948,0.7744,103
25,113,106.24,0.945,0.3968,114
26,101,106.04,0.943,0.4711,112
27,111,106.22,0.941,0.3587,107
28,106,106.21,0.939,0.3877,113
29,110,106.34,0.936,0.391,114
30,108,106.4,0.934,0.5746,114
31,97,106.1,0.932,0.3983,114
32,102,105.97,0.93,0.4255,114
33,106,105.97,0.928,0.4932,113
34,110,106.09,0.926,0.4236,106
35,109,106.17,0.923,0.3411,113
36,105,106.14,0.921,0.4075,106
37,102,106.03,0.919,0.5064,106
38,95,105.74,0.917,0.4757,107
39,108,105.79,0.915,0.4857,107
40,113,105.98,0.913,0.5291,107
41,100,105.83,0.911,0.4544,107
42,105,105.81,0.908,0.4606,105
43,100,105.67,0.906,0.4285,105
44,101,105.57,0.904,0.409,109
45,108,105.62,0.902,0.5119,105
46,105,105.61,0.9,0.5187,110
47,111,105.72,0.898,0.9192,112
48,112,105.85,0.895,0.581,112
49,103,105.8,0.893,0.6069,107
50,106,105.8,0.891,0.5167,108
51,99,105.67,0.889,0.5137,108
52,107,105.69,0.887,0.5989,112
53,100,105.58,0.885,0.841,112
54,111,105.69,0.883,0.8063,109
55,117,105.89,0.88,0.7839,112
56,109,105.95,0.878,0.6568,111
57,107,105.96,0.876,0.7308,111
58,103,105.91,0.874,0.6182,111
59,103,105.86,0.872,0.5791,110
60,115,106.02,0.869,0.6389,111
61,108,106.05,0.867,0.6131,111
62,108,106.08,0.865,0.526,111
63,106,106.08,0.863,0.6091,111
64,96,105.92,0.861,0.5684,114
65,116,106.08,0.858,0.6335,114
66,106,106.08,0.856,0.6283,114
67,102,106.01,0.854,0.6718,114
68,99,105.91,0.852,0.7321,111
69,104,105.88,0.85,0.883,113
70,101,105.81,0.848,0.9127,112
71,110,105.87,0.845,0.6475,111
72,116,106.01,0.843,0.6474,109
73,109,106.05,0.841,0.6576,110
74,96,105.92,0.839,0.7108,110
75,108,105.95,0.836,0.8617,109
76,101,105.88,0.834,0.7663,111
77,100,105.81,0.833,0.8334,106
78,109,105.85,0.83,0.8473,112
79,102,105.8,0.828,0.8131,113
80,105,105.79,0.826,0.7381,109
81,90,105.59,0.824,0.7267,111
82,100,105.52,0.822,0.9529,109
83,107,105.54,0.82,0.8485,112
84,101,105.49,0.818,0.7815,112
85,103,105.46,0.816,0.9298,110
86,104,105.44,0.814,0.8475,112
87,98,105.36,0.812,0.7917,112
