Episode,Score,Avg100,Epsilon,Loss,Greedy_Eval
1,105,105.0,0.998,0,99
2,109,107.0,0.996,0.9716,106
3,102,105.33,0.994,0.2057,103
4,113,107.25,0.991,0.1066,100
5,112,108.2,0.989,0.0701,102
6,105,107.67,0.987,0.0476,107
7,114,108.57,0.984,0.0541,108
8,111,108.88,0.982,0.0443,108
9,110,109.0,0.98,0.0372,107
10,112,109.3,0.977,0.0281,106
11,103,108.73,0.975,0.0218,105
12,101,108.08,0.973,0.0246,112
13,108,108.08,0.971,0.0263,107
14,101,107.57,0.969,0.0148,111
15,106,107.47,0.967,0.0305,104
16,111,107.69,0.964,0.0183,110
17,96,107.0,0.962,0.0213,108
18,96,106.39,0.961,0.0257,110
19,113,106.74,0.958,0.0211,104
20,114,107.1,0.956,0.017,108
21,103,106.9,0.954,0.0137,108
22,105,106.82,0.952,0.012,107
23,120,107.39,0.949,0.5211,104
24,117,107.79,0.947,0.4527,105
25,112,107.96,0.944,0.2004,105
26,103,107.77,0.942,0.1556,105
27,115,108.04,0.94,0.151,105
28,110,108.11,0.938,0.1429,105
29,110,108.17,0.935,0.1424,105
30,102,107.97,0.933,0.1443,106
31,111,108.06,0.931,0.1445,106
32,101,107.84,0.929,0.1361,105
33,98,107.55,0.926,0.1291,108
34,99,107.29,0.924,0.1359,105
35,92,106.86,0.923,0.1163,108
36,105,106.81,0.92,0.101,108
37,103,106.7,0.918,0.1088,108
38,109,106.76,0.916,0.1058,105
39,98,106.54,0.914,0.0998,108
40,98,106.32,0.912,0.0821,108
41,102,106.22,0.91,0.0786,108
42,110,106.31,0.908,0.0761,108
43,89,105.91,0.906,0.0802,108
44,95,105.66,0.904,0.0573,108
45,98,105.49,0.902,0.0658,108
46,102,105.41,0.9,0.3522,108
47,102,105.34,0.898,0.6342,108
48,108,105.4,0.895,0.3354,108
49,109,105.47,0.893,0.2294,108
50,98,105.32,0.891,0.2065,106
51,109,105.39,0.889,0.1771,108
52,101,105.31,0.887,0.167,108
53,98,105.17,0.885,0.1431,108
54,101,105.09,0.883,0.1312,108
55,107,105.13,0.881,0.1287,108
56,100,105.04,0.879,0.1047,108
57,101,104.96,0.876,0.1111,108
58,108,105.02,0.874,0.1211,108
59,112,105.14,0.872,0.1309,108
60,104,105.12,0.87,0.1174,108
61,105,105.11,0.868,0.1103,108
62,102,105.06,0.866,0.096,108
63,96,104.92,0.864,0.0968,108
64,106,104.94,0.861,0.0971,108
65,101,104.88,0.859,0.1038,108
66,97,104.76,0.858,0.0962,108
67,106,104.78,0.855,0.0973,108
68,102,104.74,0.853,0.1089,108
69,106,104.75,0.851,0.1105,108
70,99,104.67,0.849,0.7419,103
71,110,104.75,0.847,0.5509,101
72,110,104.82,0.844,0.355,107
73,104,104.81,0.842,0.3021,103
74,103,104.78,0.84,0.2365,107
75,99,104.71,0.838,0.2179,103
76,109,104.76,0.836,0.2245,108
77,97,104.66,0.834,0.2077,107
78,109,104.72,0.832,0.1774,107
79,110,104.78,0.829,0.1605,107
80,99,104.71,0.827,0.1555,107
81,101,104.67,0.825,0.1591,107
82,106,104.68,0.823,0.1429,107
83,105,104.69,0.821,0.1435,107
84,90,104.51,0.819,0.1468,107
85,105,104.52,0.817,0.1435,107
86,114,104.63,0.815,0.1534,107
87,100,104.57,0.812,0.1374,107
88,108,104.61,0.81,0.1208,107
89,99,104.55,0.808,0.1148,107
90,95,104.44,0.806,0.1342,107
91,101,104.41,0.804,0.1214,107
92,100,104.36,0.802,0.1276,107
93,102,104.33,0.8,0.1279,107
94,96,104.24,0.798,0.9539,107
95,95,104.15,0.797,0.6819,108
96,92,104.02,0.795,0.5127,103
97,102,104.0,0.793,0.4626,107
